CCTV央视频道,#genre#
國家地理,http://211.23.114.106:8509/http/61.221.81.94:8088/hls/61/803/ch01.m3u8




影视轮播频道,#genre#

NewTV爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8

NewTV搏击运动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8

NewTV超级体育FHD,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8

NewTV东北热剧FHD,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8

NewTV动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8

NewTV功夫剧场,http://39.134.65.84:80/wh7f454c46tw1933122944_256139629/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8?icpid=88888888&RTS=1579029479&from=1&hms_devid=130

NewTV欢乐剧场,http://39.135.135.81:80/wh7f454c46tw1744894462_1818032107/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8?icpid=88888888&RTS=1554599517&from=1&hms_devid=690

NewTV惊悚悬疑FHD,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8

精彩电影4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8

美亚电影台(粤语),http://iptv.tvfix.org/hls/mydy.m3u8

美亚电影台(普通话),http://iptv.tvfix.org/hls/mydy2.m3u8

天映经典(粤语),http://iptv.tvfix.org/hls/tyjd.m3u8

天映经典(普通话),http://iptv.tvfix.org/hls/tyjd2.m3u8

TVB星河(粤语),http://iptv.tvfix.org/hls/tvbxh.m3u8

TVB星河(普通话),http://iptv.tvfix.org/hls/tvbxh2.m3u8

TVB功夫台(粤语),http://iptv.tvfix.org/hls/tvbkf.m3u8

TVB功夫(普通话),http://iptv.tvfix.org/hls/tvbkf2.m3u8

凤凰电影,http://iptv.tvfix.org/hls/fhdy.m3u8

ChannelV,http://iptv.tvfix.org/hls/channelv.m3u8

星空卫视,http://iptv.tvfix.org/hls/startv.m3u8

FOXMOVIES,http://211.23.114.106:8560/http/116.50.42.19:8081/hls/62/804/ch08.m3u8

Cinemax,http://211.23.114.106:8559/http/116.50.42.19:8081/hls/71/813/ch42.m3u8

軍旅劇場,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c55_lb_144_600_t10/c55_lb_144_600_t10.m3u8

IQIYI - 抗戰劇場,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c54_lb_163_600_t10/c54_lb_163_600_t10.m3u8

IQIYI - 紅色劇場,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c56_lb_179_600_t10/c56_lb_179_600_t10.m3u8

IQIYI - 宮廷正劇,http://112.49.48.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c54_lb_152_600_t10/c54_lb_152_600_t10.m3u8

IQIYI - 家庭劇場,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c55_lb_158_600_t10/c55_lb_158_600_t10.m3u8

IQIYI - 軍事觀察,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c57_lb_239_720P_t10/c57_lb_239_720P_t10.m3u8

IQIYI - 五星影院,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c56_lb_183_600_t10/c56_lb_183_600_t10.m3u8

IQIYI - 戲曲影院,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c56_lb_245_600_t10/c56_lb_245_600_t10.m3u8

MIGU - 試膽大會,http://117.148.179.134/PLTV/88888888/224/3221231672/index.m3u8

MIGU - 高能燒腦時刻,http://117.148.179.134/PLTV/88888888/224/3221231504/index.m3u8

MIGU - 楊冪作品集,http://117.148.179.134/PLTV/88888888/224/3221231556/index.m3u8

MIGU - 文藝娛樂,http://117.148.179.134/PLTV/88888888/224/3221231570/index.m3u8

殭屍劇場,http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8

金庸作品,http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8

喜劇聯盟,http://117.148.179.154/PLTV/88888888/224/3221231621/index.m3u8

高分影院,http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8

懷舊老片,http://117.148.179.146/PLTV/88888888/224/3221231513/index.m3u8

午夜失眠劇場,http://117.148.179.141/PLTV/88888888/224/3221231516/index.m3u8

雲上電影院,http://117.148.179.176/PLTV/88888888/224/3221231565/index.m3u8

每日科幻電影,http://117.148.179.160/PLTV/88888888/224/3221231568/index.m3u8

